time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451300000	9.84257	20.9171	4.7532	3.32482	0.538654	lidar	20239.1	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61472	20.9057	4.68946	3.32566	0.490121	radar	7255.12	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42725	20.8532	4.61358	3.35659	0.498815	lidar	19749.2	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21196	20.8091	4.60336	3.38073	0.500474	radar	7248.32	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90361	20.7834	4.75473	3.38436	0.474041	lidar	19094.2	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69419	20.7023	4.72761	3.42071	0.49135	radar	6817.21	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40696	20.6221	4.83708	3.44271	0.486253	lidar	18268.3	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17858	20.542	4.84514	3.47155	0.494403	radar	6924.43	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93244	20.4629	4.87669	3.49296	0.490171	lidar	18011.2	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71627	20.3768	4.89017	3.52561	0.509726	radar	7025	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.3928	20.3214	5.05164	3.52072	0.473464	lidar	17517.2	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.15777	20.2262	5.04282	3.5415	0.466641	radar	6689.17	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89001	20.1432	5.10121	3.55195	0.451559	lidar	17010.1	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.66298	20.0527	5.07177	3.56756	0.439601	radar	6700.07	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.41607	19.9604	5.0962	3.58102	0.42997	lidar	16539.1	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.1987	19.8674	5.06973	3.59866	0.426625	radar	6733.41	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.93434	19.7733	5.12662	3.60547	0.409896	lidar	16023.5	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.69754	19.629	5.19473	3.64155	0.438565	radar	6432.92	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.53471	19.5033	5.08703	3.67628	0.454513	lidar	15578.3	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.33258	19.3546	5.07923	3.70952	0.468681	radar	6175.93	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12422	19.2519	5.05322	3.72175	0.457103	lidar	15172.7	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93912	19.1397	4.95606	3.7347	0.437488	radar	6291.83	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78481	18.9887	4.88261	3.77198	0.456113	lidar	14418.7	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57301	18.8385	4.94233	3.79626	0.463853	radar	6277.08	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
